numInitialJobs,queueServiceTime,numTandems,numQueues,queueDelay,switchDelay,communication,numPartitions,cmdline,simulated_time,elapsed_seconds,events_simulated,ev-per-sec,seq-ev-per-sec,speedup
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,8,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-8']",77922.9419427414,10.0059,12943521.0,1293588.88255929,446067.58648270345,2.899984042237621
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,9,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-9']",67476.89439830731,10.0008,11208108.0,1120721.1423086154,446067.58648270345,2.5124469391413
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,10,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-10']",63930.44759438901,10.0041,10612744.0,1060839.4558231125,446067.58648270345,2.378203411254243
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,11,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-11']",61822.05249274741,10.003,10276352.0,1027327.0018994302,446067.58648270345,2.303074764970096
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,12,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-12']",61481.808267410976,10.0248,10198068.0,1017283.9358391189,446067.58648270345,2.2805600914886575
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,13,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-13']",65320.913292370235,10.0051,10853674.0,1084814.144786159,446067.58648270345,2.4319501745016914
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,14,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-14']",65203.88068897535,10.0048,10833986.0,1082878.8181672797,446067.58648270345,2.4276115346239555
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,15,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-15']",52054.6334605906,10.0078,8652193.0,864544.9549351506,446067.58648270345,1.9381478976138828
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,16,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-16']",58108.370134387835,10.0007,9652979.0,965230.3338766287,446067.58648270345,2.1638656632453075
2,exponential(10s),120,10,1s,1s,mt-mem-msgptrpassing,2,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=true', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-2']",48110.013306199944,10.0005,7978521.0,797812.2093895305,446067.58648270345,1.7885455782169148
